cluster	status	loglr	df	p	p.adjust	genes	annotations
chr10:clu_100_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000107968.10	PR
chr10:clu_101_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000148516.23	NE
chr10:clu_102_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000148516.23	NE
chr10:clu_103_+	Success	0.4053955078125	3.0	0.8468842619077992	0.8736343903138558	ENSG00000148516.23	PR
chr10:clu_104_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000216937.14	PR
chr10:clu_105_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000216937.14	PR,UP
chr10:clu_106_+	Success	86.8056640625	20.0	1.717346774684317e-26	1.4391365971854576e-24	ENSG00000095794.21	NE,PR
chr10:clu_107_+	Success	8.7484130859375	1.0	2.8778770737072086e-05	0.00014705249925406347	ENSG00000095794.21	PR
chr10:clu_108_+	Success	0.2318115234375	2.0	0.7930955891512139	0.839159221854441	ENSG00000189180.16	NE,PR
chr10:clu_109_+	Success	2.8004302978515625	1.0	0.017951657282910472	0.0417874688974416	ENSG00000189180.16	PR
chr10:clu_10_+	Success	4.532928466796875	2.0	0.010749151402820177	0.026338563963635403	ENSG00000067057.19	NE,PR
chr10:clu_110_+	Not enough valid samples	NA	NA	NA	NA	ENSG00000189180.16	PR
chr10:clu_111_+	Success	1.8958740234375	3.0	0.2848474314777899	0.39738905462428886	ENSG00000075407.19,ENSG00000283930.1	PR
chr10:clu_112_+	Success	0.7335205078125	1.0	0.22581313566980918	0.33791322802017876	ENSG00000075407.19,ENSG00000283930.1	PR
chr10:clu_113_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000075407.19,ENSG00000283930.1	PR
chr10:clu_114_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000290439.1,ENSG00000099251.15	IN
chr10:clu_115_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000243660.12	NE,PR
chr10:clu_116_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000243660.12	PR
chr10:clu_117_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENSG00000198298.13	PR
chr10:clu_118_+	Success	0.30908203125	2.0	0.734120546730102	0.8010325757289394	ENSG00000107551.21	PR,UP
chr10:clu_119_+	Success	3.201202392578125	2.0	0.04071322126096393	0.08240985366349704	ENSG00000107551.21	PR,UP
chr10:clu_11_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000067057.19	PR
chr10:clu_120_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ENSG00000107551.21	NE,PR
