cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_100_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NPHP4
chr1:clu_101_-	Success	0.3876953125	1.0	0.37855456812999655	0.8289039681467166	ENSG00000285629,RPL22
chr1:clu_102_-	Success	4.9365234375	4.0	0.04262135947015644	0.47602635276599914	ICMT
chr1:clu_103_-	Success	0.532196044921875	1.0	0.3022155844079787	0.7587222068630347	ICMT
chr1:clu_104_-	Success	0.0697021484375	1.0	0.7088739413518244	0.9353120600410171	ACOT7
chr1:clu_105_-	Success	1.8172607421875	2.0	0.16247018967619606	0.6980513799062437	NOL9
chr1:clu_106_-	Success	1.140625	2.0	0.3196191973793099	0.7587222068630347	DNAJC11
chr1:clu_107_-	Success	1.782440185546875	1.0	0.059013992708224605	0.499651804929635	DNAJC11
chr1:clu_108_-	Success	0.01708984375	2.0	0.9830553592872928	1.0	UTS2
chr1:clu_109_-	Not enough valid samples	NA	NA	NA	NA	TNFRSF9
chr1:clu_10_-	Success	0.204833984375	3.0	0.9382381568585563	1.0	ENSG00000290385
chr1:clu_110_-	Success	5.326416015625	6.0	0.09971719419244032	0.617760178655606	RERE
chr1:clu_111_-	Success	0.0738525390625	1.0	0.7007381858549921	0.9353120600410171	RERE
chr1:clu_112_-	Success	1.986083984375	2.0	0.1372317763612983	0.6898706653081703	RERE
chr1:clu_113_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RERE
chr1:clu_114_-	Success	0.2294921875	3.0	0.9278054091130317	1.0	SLC2A5
chr1:clu_115_-	Success	2.708984375	8.0	0.7121104332270762	0.9353120600410171	SLC2A5
chr1:clu_116_-	Success	0.953277587890625	1.0	0.16734641789468363	0.6980513799062437	SLC2A5
chr1:clu_117_-	Success	2.913818359375	2.0	0.054268118574845314	0.4872465035634836	GPR157
chr1:clu_118_-	Success	0.5731201171875	3.0	0.7659248365690218	0.9353120600410171	PIK3CD-AS2
chr1:clu_119_-	Success	2.02874755859375	1.0	0.043975685619307384	0.47602635276599914	CLSTN1
chr1:clu_11_-	Success	1.58843994140625	3.0	0.365149510126144	0.8135787330880752	ENSG00000290385
chr1:clu_120_-	Success	0.29962158203125	2.0	0.7410986126573362	0.9353120600410171	CLSTN1
chr1:clu_121_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CTNNBIP1
chr1:clu_122_-	Success	1.93603515625	3.0	0.2756137034546265	0.7587222068630347	LZIC
