intron	logef_Brain-FrontalCortex_BA9	psi_Cells-EBV-transformedlymphocytes	psi_Brain-FrontalCortex_BA9	deltapsi_Brain-FrontalCortex_BA9
chr10:180128:197910:clu_2_+:NE	3.6829584	4.2422034e-05	0.019427082	0.01938466
chr10:180128:209888:clu_2_+:PR	-2.4756174	0.9951356	0.9639688	-0.031166792
chr10:198005:209888:clu_2_+:NE	-1.2073402	0.0048220074	0.016604064	0.011782057
chr10:210048:221194:clu_3_+:PR	-0.117333405	0.44389045	0.4238489	-0.020041555
chr10:210048:236837:clu_3_+:PR	0.25380695	0.12347206	0.17087878	0.047406726
chr10:221356:236837:clu_3_+:PR	-0.13647361	0.43263748	0.40527228	-0.027365208
chr10:236915:237584:clu_4_+:PR	-0.157862	0.4293393	0.46387032	0.034531027
chr10:236915:239437:clu_4_+:PR	0.4803868	0.011671861	0.023873929	0.012202068
chr10:237677:239437:clu_4_+:PR	-0.32252488	0.55898887	0.5122558	-0.04673308
chr10:239525:240055:clu_5_+:PR	0.29495645	0.9294369	0.95961154	0.030174613
chr10:239525:240058:clu_5_+:PR	-0.29495645	0.07056305	0.040388428	-0.03017462
chr10:1105267:1124217:clu_9_+:PR	1.3725508	0.92376304	0.9947261	0.070963085
chr10:1124102:1124217:clu_9_+:NE	-1.3725507	0.07623694	0.0052738287	-0.070963115
chr10:3067707:3069273:clu_10_+:NE	-1.0708921	0.015659984	0.004380913	-0.011279071
chr10:3067707:3082387:clu_10_+:PR	0.19222842	0.96202075	0.9517524	-0.010268331
chr10:3069389:3082387:clu_10_+:PR	0.87866354	0.022319268	0.043866653	0.021547385
chr10:3105159:3105392:clu_12_+:PR	1.5277718	0.9859907	0.9993313	0.013340592
chr10:3105301:3105392:clu_12_+:UP	-1.5277716	0.014009271	0.0006687235	-0.013340548
chr10:3120044:3129818:clu_13_+:PR	0.45180777	0.99482983	0.9978991	0.0030692816
chr10:3125249:3129818:clu_13_+:PR	-0.4518077	0.0051701795	0.0021009138	-0.0030692657
chr10:3135838:3136449:clu_14_+:PR	1.3654773	0.9887539	0.9988248	0.01007086
chr10:3135838:3137542:clu_14_+:PR	-1.6790569	0.0091646835	0.00044085342	-0.00872383
chr10:3135838:3143855:clu_14_+:UP	0.31357992	0.0020813858	0.0007343793	-0.0013470065
chr10:5429229:5451829:clu_17_+:PR	-1.4037857	0.8950437	0.32982937	-0.5652143
chr10:5446858:5451829:clu_17_+:PR	1.8692846	0.06504212	0.63258123	0.5675391
chr10:5446858:5453294:clu_17_+:PR	-0.46549922	0.03991424	0.037589412	-0.002324827
chr10:5890346:5903019:clu_21_+:PR	0.36129108	0.27066517	0.26087707	-0.009788096
chr10:5890346:5906036:clu_21_+:NE	0.19003324	0.02791833	0.0226734	-0.0052449293
chr10:5895187:5903019:clu_21_+:PR	-1.1851681	0.066913076	0.013737126	-0.05317595
chr10:5903175:5905217:clu_21_+:NE	-0.41882762	0.019865682	0.008776186	-0.011089496
chr10:5903175:5906036:clu_21_+:PR	0.5191013	0.59904015	0.6760761	0.07703596
chr10:5905287:5906036:clu_21_+:NE	0.5335702	0.015597689	0.01786009	0.0022624014
chr10:5924508:5924750:clu_22_+:PR	-0.7035915	0.051345695	0.006627437	-0.044718258
chr10:5924508:5925366:clu_22_+:PR	1.471815	0.86508816	0.98326135	0.11817318
chr10:5924801:5925366:clu_22_+:PR	-0.76822364	0.08356618	0.0101112025	-0.073454976
chr10:5927541:5928335:clu_23_+:UP	-0.34044594	0.009516407	0.0048396187	-0.004676788
chr10:5927541:5936455:clu_23_+:PR	0.3404459	0.9904836	0.99516034	0.0046767592
chr10:6105097:6106140:clu_24_+:PR	-0.2199792	0.9975284	0.9961676	-0.001360774
chr10:6105097:6106143:clu_24_+:PR	0.21997917	0.002471677	0.0038323954	0.0013607184
chr10:6112361:6113507:clu_25_+:PR	0.50561583	0.9237256	0.9708384	0.047112823
chr10:6113068:6113507:clu_25_+:UP	-0.5056158	0.076274425	0.02916155	-0.047112875
chr10:6145013:6213622:clu_26_+:PR	0.4066362	0.2757022	0.46192163	0.18621942
chr10:6203336:6213622:clu_26_+:PR	-0.40663615	0.7242978	0.5380783	-0.18621951
chr10:6221527:6221640:clu_27_+:PR	-0.023041278	0.5178789	0.5063656	-0.011513293
chr10:6221745:6222854:clu_27_+:PR	0.023041276	0.48212105	0.49363443	0.011513382
chr10:6224213:6226191:clu_28_+:PR	-2.16992	0.47660902	0.3235333	-0.15307572
chr10:6224213:6232894:clu_28_+:PR	-3.7316222	0.04181902	0.0059551382	-0.035863884
chr10:6226365:6228195:clu_28_+:PR	1.8006135	0.0053434977	0.19229287	0.18694937
chr10:6226365:6232894:clu_28_+:PR	-2.684602	0.43279335	0.17559564	-0.2571977
chr10:6226365:6254177:clu_28_+:PR	-4.812011	0.036405087	0.0017598402	-0.034645244
chr10:6228218:6231262:clu_28_+:PR	5.7067556	7.1323244e-05	0.12758058	0.12750927
chr10:6228218:6232894:clu_28_+:PR	0.21922931	0.006887784	0.050983608	0.04409582
chr10:6231314:6232894:clu_28_+:PR	5.671557	7.082001e-05	0.12229902	0.122228205
chr10:7788263:7796120:clu_30_+:PR	0.12079215	0.5188411	0.51830506	-0.00053602457
chr10:7788263:7797046:clu_30_+:UP	-0.22729361	0.011361854	0.0080136135	-0.0033482406
chr10:7796155:7797046:clu_30_+:PR	0.13023342	0.46922597	0.47318763	0.0039616525
chr10:7796155:7806973:clu_30_+:PR	-0.023731897	0.0005710617	0.0004937055	-7.735618e-05
chr10:7802854:7806973:clu_31_+:PR	-0.26937914	0.49727985	0.4895213	-0.007758558
chr10:7802854:7807658:clu_31_+:PR	0.52277684	0.006501927	0.01413324	0.007631313
chr10:7807010:7807658:clu_31_+:PR	-0.2533978	0.4962182	0.4963455	0.00012728572
chr10:7800091:7802269:clu_32_+:PR	0.49739885	0.9984326	0.9994198	0.0009872317
chr10:7801569:7802269:clu_32_+:UP	-0.4973988	0.0015674212	0.0005802028	-0.0009872185
chr10:11165682:11217424:clu_35_+:PR	0.33818454	0.42802912	0.47005913	0.042030007
chr10:11165682:11249152:clu_35_+:UP	-0.5257513	0.021517819	0.009960356	-0.011557463
chr10:11217507:11249152:clu_35_+:PR	0.18756688	0.55045307	0.51998055	-0.030472517
chr10:11257872:11266597:clu_36_+:PR	0.7092293	0.42734665	0.4840255	0.05667886
chr10:11257872:11270665:clu_36_+:UP	-1.4177035	0.13256933	0.017898466	-0.11467086
chr10:11266677:11270665:clu_36_+:PR	0.70847446	0.44008398	0.49807605	0.05799207
chr10:11314258:11321188:clu_37_+:PR	-0.3369327	0.1469681	0.5217209	0.3747528
chr10:11314258:11321206:clu_37_+:PR	-2.1563144	0.66474587	0.38258097	-0.2821649
chr10:11314270:11320856:clu_37_+:PR	5.8297367	3.688974e-05	0.062412422	0.06237553
chr10:11314270:11321206:clu_37_+:PR	-3.3364894	0.18824916	0.033285666	-0.1549635
chr10:11321386:11325835:clu_38_+:PR	-0.0047946326	0.3852816	0.383013	-0.0022685826
chr10:11325979:11328925:clu_38_+:PR	0.004794632	0.6147184	0.61698693	0.0022685528
chr10:12084751:12087534:clu_41_+:PR	-0.18684778	0.36860314	0.28008208	-0.08852106
chr10:12084751:12088985:clu_41_+:PR	-0.25552872	0.0071431934	0.005067467	-0.0020757262
chr10:12087729:12088985:clu_41_+:PR	0.17274573	0.30602682	0.33316183	0.027135015
chr10:12091684:12094072:clu_41_+:PR	0.26963082	0.31822684	0.38168862	0.06346178
chr10:12162289:12164267:clu_44_+:PR	1.318258	0.89427817	0.97964734	0.08536917
chr10:12162289:12167752:clu_44_+:UP	-0.6756469	0.04587154	0.006842243	-0.039029296
chr10:12162289:12169257:clu_44_+:PR	0.633653	0.018303892	0.01011161	-0.008192281
chr10:12167893:12169257:clu_44_+:NE	-1.2762638	0.04154642	0.0033989453	-0.038147476
