intron	logef_female	psi_male	psi_female	deltapsi_female
chr1:14829:14970:clu_1_-	-0.103854366	0.8008571	0.7656575	-0.035199642
chr1:14829:15021:clu_1_-	0.10385435	0.19914283	0.23434247	0.035199642
chr1:185350:185491:clu_3_-	-0.3648952	0.43067944	0.42365322	-0.0070262253
chr1:185350:185542:clu_3_-	-0.059537567	0.004988754	0.0066598374	0.0016710833
chr1:185350:186317:clu_3_-	0.7660967	0.00074189715	0.0022614326	0.0015195354
chr1:185559:186317:clu_3_-	-0.34166393	0.5635899	0.56742543	0.003835559
chr1:186464:187129:clu_4_-	-0.6044543	0.03433052	0.011154507	-0.023176014
chr1:186469:187129:clu_4_-	0.5505629	0.9481934	0.9778773	0.029683948
chr1:186832:187129:clu_4_-	0.05389124	0.017476154	0.010968104	-0.0065080505
chr1:187287:187376:clu_5_-	0.21844094	0.49231488	0.60016173	0.107846856
chr1:187287:187380:clu_5_-	-0.21844092	0.5076852	0.39983824	-0.107846946
chr1:17055:17233:clu_6_-	-0.07013202	0.46959382	0.4790107	0.009416878
chr1:17055:17606:clu_6_-	0.09078564	0.020088727	0.024069158	0.0039804317
chr1:17055:17915:clu_6_-	0.488022	0.0024196734	0.004313033	0.0018933597
chr1:17368:17526:clu_6_-	-0.27173576	0.003936093	0.0032819563	-0.00065413653
chr1:17368:17606:clu_6_-	-0.09405954	0.23869176	0.23772162	-0.0009701401
chr1:17742:17915:clu_6_-	-0.14288025	0.26526994	0.2516035	-0.013666421
chr1:18061:18268:clu_7_-	0.088100605	0.24038824	0.24659419	0.006205946
chr1:18061:24738:clu_7_-	0.12050042	0.014561491	0.015429309	0.00086781755
chr1:18366:18913:clu_7_-	-0.85137564	0.0030682778	0.0012301409	-0.0018381369
chr1:18366:199837:clu_7_-	0.79621285	0.0022165151	0.0046160403	0.0023995251
chr1:18366:24738:clu_7_-	0.04299735	0.14632168	0.1434796	-0.0028420836
chr1:18366:29321:clu_7_-	0.8748288	0.0072048916	0.01623188	0.0090269875
chr1:18369:18501:clu_7_-	-0.18328512	0.022237532	0.01738981	-0.004847722
chr1:18369:18913:clu_7_-	0.19232354	0.017645266	0.020089133	0.0024438668
chr1:18369:195263:clu_7_-	0.046886824	0.004242628	0.0041764327	-6.619515e-05
chr1:18369:24738:clu_7_-	-0.13034478	0.01890656	0.015588794	-0.003317766
chr1:18379:24738:clu_7_-	-1.1693549	0.0007020337	0.00020479603	-0.00049723766
chr1:18554:18913:clu_7_-	-0.15289266	0.014422879	0.011626782	-0.0027960967
chr1:18554:24738:clu_7_-	-0.391847	0.013730377	0.008715927	-0.0050144503
chr1:188584:188791:clu_7_-	0.10579927	0.14943565	0.15603082	0.0065951645
chr1:188584:195263:clu_7_-	0.31066456	0.009561917	0.012253854	0.0026919376
chr1:188889:189436:clu_7_-	0.5802415	0.00033426922	0.0005609191	0.00022664989
